iter	Passed	Remaining
403	10103	14904
404	10130	14883
405	10154	14857
406	10197	14857
407	10220	14829
408	10245	14804
409	10268	14777
410	10300	14761
411	10323	14733
412	10347	14707
413	10371	14680
414	10396	14654
415	10419	14627
416	10446	14604
417	10469	14576
418	10493	14551
419	10517	14523
420	10542	14499
421	10566	14473
422	10590	14446
423	10615	14420
424	10641	14397
425	10666	14371
426	10693	14349
427	10716	14322
428	10739	14294
429	10763	14268
430	10786	14240
431	10810	14213
432	10833	14186
433	10858	14160
434	10882	14135
435	10905	14107
436	10935	14088
437	10960	14063
438	10982	14034
439	11006	14008
440	11031	13982
441	11055	13956
442	11079	13930
443	11103	13903
444	11126	13877
445	11152	13853
446	11182	13834
447	11205	13807
448	11230	13782
449	11255	13756
450	11278	13729
451	11302	13703
452	11326	13677
453	11350	13651
454	11374	13624
455	11399	13598
456	11424	13573
457	11449	13548
458	11473	13523
459	11498	13498
460	11529	13480
461	11562	13465
462	11585	13437
463	11610	13411
464	11635	13387
465	11659	13360
466	11689	13341
467	11714	13316
468	11737	13289
469	11761	13263
470	11785	13236
471	11807	13208
472	11831	13182
473	11854	13154
474	11878	13129
475	11903	13104
476	11934	13085
477	11957	13058
478	11982	13032
479	12005	13005
480	12029	12979
481	12053	12953
482	12077	12927
483	12099	12899
484	12124	12874
485	12147	12846
486	12173	12823
487	12200	12800
488	12227	12778
489	12253	12753
490	12277	12727
491	12309	12709
492	12335	12685
493	12358	12658
494	12383	12633
495	12406	12606
496	12433	12583
497	12464	12564
498	12487	12537
499	12510	12510
500	12536	12486
501	12560	12460
502	12585	12435
503	12610	12410
504	12634	12384
505	12660	12360
506	12685	12334
507	12710	12310
508	12736	12286
509	12759	12259
510	12784	12234
511	12807	12206
512	12830	12180
513	12853	12153
514	12878	12128
515	12903	12102
516	12931	12081
517	12954	12054
518	12978	12028
519	13002	12002
520	13027	11977
521	13051	11951
522	13076	11926
523	13101	11901
524	13124	11874
525	13148	11848
526	13175	11825
527	13199	11799
528	13224	11774
529	13250	11750
530	13275	11725
531	13297	11697
532	13321	11671
533	13344	11644
534	13367	11618
535	13390	11591
536	13416	11567
537	13440	11541
538	13462	11514
539	13487	11489
540	13511	11463
541	13534	11436
542	13558	11410
543	13581	11384
544	13606	11359
545	13629	11332
546	13655	11308
547	13680	11284
548	13705	11258
549	13730	11233
550	13753	11207
551	13776	11181
552	13803	11157
553	13826	11131
554	13850	11105
555	13874	11079
556	13904	11058
557	13928	11032
558	13952	11007
559	13977	10982
560	14000	10956
561	14025	10930
562	14049	10904
563	14073	10879
564	14097	10853
565	14120	10827
566	14147	10803
567	14169	10776
568	14193	10751
569	14218	10726
570	14243	10700
571	14266	10675
572	14299	10655
573	14331	10636
574	14362	10615
575	14396	10597
576	14430	10579
577	14464	10560
578	14493	10538
579	14517	10512
580	14539	10485
581	14564	10460
582	14587	10434
583	14610	10407
584	14638	10384
585	14663	10359
586	14685	10332
587	14707	10305
588	14732	10280
589	14756	10254
590	14779	10228
591	14805	10203
592	14830	10179
593	14855	10153
594	14879	10127
595	14906	10104
596	14930	10078
597	14953	10052
598	14977	10026
599	15000	10000
600	15023	9973
601	15046	9947
602	15070	9921
603	15092	9895
604	15117	9870
605	15143	9845
606	15167	9820
607	15191	9794
608	15216	9769
609	15241	9744
610	15265	9718
611	15289	9693
612	15313	9667
613	15337	9642
614	15364	9618
615	15391	9595
616	15415	9569
617	15439	9543
618	15463	9517
