iter	Logloss
0	0.692559757
1	0.6919771055
2	0.6914461321
3	0.6909267316
4	0.6904351717
5	0.6900919496
6	0.6896931008
7	0.6892683766
8	0.6888418146
9	0.6884681315
10	0.688071339
11	0.6877972999
12	0.6874802989
13	0.687203039
14	0.686965775
15	0.6866949567
16	0.6864212088
17	0.6861748648
18	0.6859183671
19	0.6856485132
20	0.6853926706
21	0.6852096322
22	0.6849798833
23	0.6847496978
24	0.6845437318
25	0.6843404406
26	0.6841128026
27	0.6839012684
28	0.6837768772
29	0.6835926742
30	0.6833754082
31	0.6831831805
32	0.6830316037
33	0.6827907187
34	0.6826132847
35	0.6824304828
36	0.6823040172
37	0.6821465812
38	0.6819987712
39	0.6818461027
40	0.6817477871
41	0.6815773406
42	0.6814343526
43	0.6813057762
44	0.6811469573
45	0.681010429
46	0.6808788503
47	0.6807251263
48	0.6806337254
49	0.6805382484
50	0.6804266858
51	0.6802664293
52	0.6801647837
53	0.6800296384
54	0.6799171296
55	0.6797662807
56	0.6796476578
57	0.6795217927
58	0.6794264977
59	0.6793327312
60	0.6791882875
61	0.6790789266
62	0.678930043
63	0.6788299623
64	0.6786878295
65	0.6785546131
66	0.6784676703
67	0.6783559256
68	0.6782568094
69	0.6781257219
70	0.6779989288
71	0.6778932254
72	0.6777968386
73	0.6776523403
74	0.6775410142
75	0.6774379129
76	0.6772609521
77	0.6771525738
78	0.677049891
79	0.6769392382
80	0.6768326796
81	0.6767014465
82	0.6766164689
83	0.6764983191
84	0.6764379614
85	0.676340774
86	0.6762106145
87	0.676100271
88	0.675978118
89	0.6758459569
90	0.6757796307
91	0.6756870106
92	0.6756067823
93	0.6754816087
94	0.6753517585
95	0.6752451635
96	0.675130653
97	0.6750125397
98	0.6748808153
99	0.6747996954
100	0.6746715011
101	0.6745863598
102	0.6745003268
103	0.6743964794
104	0.6742897206
105	0.6742077637
106	0.6741034978
107	0.6740481441
108	0.6739297032
109	0.6737708478
110	0.6736678375
111	0.6735442834
112	0.6734419099
113	0.6733285458
114	0.6732358529
115	0.6731036555
116	0.6729821757
117	0.6728785649
118	0.672734012
119	0.672613242
120	0.6725732643
121	0.6724853935
122	0.6723890431
123	0.6722686915
124	0.6721302708
125	0.672003132
126	0.6719040339
127	0.6717873398
128	0.6717047096
129	0.6716004619
130	0.6715102074
131	0.6714093078
132	0.6713168879
133	0.6711892395
134	0.6710444683
135	0.6709174204
136	0.670824309
